Fuente/Origen,Titulo_URL,Precio,Latitud,Longitud,Dirección,Barrio/Zona,Provincia,Tipología/Producto,google_maps,Fecha de publicación,Vendedor,m2 totales,m2 cubiertos,Dormitorios,Baños
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-3-dor-c-cochera-y-amenities-milenica-56900040.html,190000,-31.4113798,-64.1775048,Maipu II - Esposos Curie 1370 -milenica Universitaria - Torre 3 Oeste,Maipú,Córdoba,Departamento,"https://maps.google.com/?q=-31.4113798,-64.1775048",11-08-2025,Moyano Trebucq Propiedades,116,72,3,3
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-alto-alberdi-1-dorm-56899051.html,45000,-31.4029421,-64.2167566,Monseñor de Andrea al 200,Alto Alberdi,Córdoba,Departamento,"https://maps.google.com/?q=-31.4029421,-64.2167566",27-08-2025,Elianne Bienes Inmuebles,38,38,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-1-dormitorio-a-m-de-nueva-cordoba:-56904812.html,60000,-31.4224711,-64.1777456,Balcarce 364,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4224711,-64.1777456",18-08-2025,D.A.R Estudio Inmobiliario,45,45,1,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-pb-c-patio-56902546.html,53000,-31.4192533,-64.1861151,Duarte Quiros 49,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4192533,-64.1861151",18-08-2025,Inmobiliaria Moyano Bruno Roca,51,45,1,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-impecable-departamento-en-venta-4-dorm.-centro-3-56899929.html,135000,-31.4113866,-64.192721,Mariano Fragueiro  y Colón,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4113866,-64.192721",28-08-2025,Sergio Villella Bienes Inmuebles,115,115,4,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-guemes-56901585.html,78000,-31.4240886,-64.1997614,Av Pueyrredón al 800,Güemes,Córdoba,Departamento,"https://maps.google.com/?q=-31.4240886,-64.1997614",11-08-2025,Nicolas Juncos,75,75,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-carlos-paz-56899710.html,85000,-31.4062605,-64.4752251,Av San Martin al 1919,Villa Carlos Paz,Córdoba,Departamento,"https://maps.google.com/?q=-31.4062605,-64.4752251",11-08-2025,FERRER LANFRANCHI,49,49,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-centro-venta-2d-balcon.-canada!-56907106.html,90000,-31.4214799,-64.1904587,Marcelo T DE Alvear al 500,Centro,Córdoba,Departamento,"https://maps.google.com/?q=-31.4214799,-64.1904587",11-08-2025,COLAUT Inmobiliaria,80,80,2,1
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-se-vende-3-dor.-terraza-a-estrenar!-56904672.html,275000,-31.4237589,-64.1848181,San Lorenzo  al 100,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4237589,-64.1848181",21-08-2025,Testi propiedades,98,98,3,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-nueva-cordoba-2-dorm.-2-56899930.html,125000,-31.4226124,-64.1778971,Balcarce y Bv. Illia,Nueva Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4226124,-64.1778971",18-08-2025,Sergio Villella Bienes Inmuebles,98,98,2,2
Zonaprop,https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-manantiales-pilares-exc.-dto-2-dor-edif-con-57026293.html,120000,-31.4572808,-64.2427079,Lomas oeste,Córdoba,Córdoba,Departamento,"https://maps.google.com/?q=-31.4572808,-64.2427079",31-08-2025,SOSA INMUEBLES,80,70,2,1
